name,description,tags,node_type,location,centroid
VHS Harburg/Finkenwerder,,,['POI'],POINT(9.983997 53.45657),
VHS Mitte,,,['POI'],POINT(9.965345 53.562696),
VHS Nord,,,['POI'],POINT(10.039245 53.587568),
Volkshochschule - Zentrale,,,['POI'],POINT(9.965363 53.562804),
Bernhard-Nocht-Institut - Tropenmedizin,,,['POI'],POINT(9.965147 53.546704),
Biozentrum Klein Flottbek - Pflanzenkrankheiten,,,['POI'],POINT(9.859803 53.559665),
Biozentrum Klein Flottbek - Pilzberatung,,,['POI'],POINT(9.859803 53.559665),
Biozentrum Klein Flottbek - allgemeine Pflanzenberatung,,,['POI'],POINT(9.859803 53.559665),
Biozentrum Klein Flottbek - gärtnerische Beratung,,,['POI'],POINT(9.859803 53.559665),
DESY,,,['POI'],POINT(9.880298 53.574953),
Hamburger Institut für Sozialforschung,,,['POI'],POINT(9.994827 53.5694),
"Heinrich-Pette-Institut, Leibniz-Institut für Experimentelle Virologie",,,['POI'],POINT(9.973401 53.593415),
Institut für Bildungsmonitoring und Qualitätsentwicklung,,,['POI'],POINT(10.043264 53.553343),
Institut für Hormon- und Fortpflanzungsforschung - IHF -,,,['POI'],POINT(9.96138 53.592146),
Institut für Kontaktstudien,,,['POI'],POINT(10.020749 53.557015),
Landeszentrale für politische Bildung,,,['POI'],POINT(9.988608 53.557088),
Observ. Geophysik Institut,,,['POI'],POINT(9.923289 53.464575),
UNESCO-Institut für Pädagogik,,,['POI'],POINT(9.991068 53.570015),
ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften Leibniz-Informationszentrum Wirtschaft,,,['POI'],POINT(9.992743 53.557098),
Adolph-Diesterweg-Schule,,,['POI'],POINT(10.148213 53.48658),
Adolph-Schönfelder-Schule - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.047214 53.577624),
Ahrensburger Weg - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.174167 53.653629),
Albert-Schweitzer-Gymnasium,,,['POI'],POINT(10.031287 53.627244),
Albert-Schweitzer-Schule - Gesamtschule mit Vorschulklasse,,,['POI'],POINT(10.047335 53.632577),
Albrecht-Thaer-Gymnasium,,,['POI'],POINT(9.92597 53.600009),
Alexander-von-Humboldt-Gymnasium,,,['POI'],POINT(9.993337 53.438782),
Allee - Gymnasium,,,['POI'],POINT(9.940237 53.554091),
Allermöhe - Gymnasium,,,['POI'],POINT(10.155617 53.485188),
Allermöhe - Haupt- und Realschule,,,['POI'],POINT(10.15267 53.485378),
Alsterdorfer Straße - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.997298 53.596767),
Alsterredder - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.099568 53.658768),
Alsterring Gymnasium,,,['POI'],POINT(10.0489 53.596945),
Alstertal - Gymnasium,,,['POI'],POINT(10.019108 53.632443),
Altengamme-Deich - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.269425 53.428842),
- Gymnasium,,,['POI'],POINT(9.916465 53.551705),
Am See - kooperative Gesamtschule mit Vorschulklasse,,,['POI'],POINT(10.06344 53.617124),
Am Sooren - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.181899 53.59318),
Am Walde - Grund-/Haupt- und Realschule mit Vorschulklasse,,,['POI'],POINT(10.136329 53.698211),
An den Teichwiesen - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.148899 53.6494),
An der Burgweide - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.024358 53.487167),
An der Gartenstadt - Grund-/Haupt- und Realschule mit Vorschulklasse,,,['POI'],POINT(10.084312 53.588947),
An der Glinder Au - Grund-/Haupt- und Realschule mit Vorschulklasse,,,['POI'],POINT(10.133347 53.534166),
An der Isebek - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.968517 53.575331),
An der Osterkirche - Evangelische Grundschule - Ottensen,,,['POI'],POINT(9.932386 53.555257),
An der Seebek - Grund-/Haupt- und Realschule mit Vorschulklasse,,,['POI'],POINT(10.066442 53.605524),
An der Twiete - Förderschule,,,['POI'],POINT(10.203266 53.502653),
Anna-Siemsen-Schule,,,['POI'],POINT(9.974106 53.549237),
Anna-Susanna-Stieg - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.918438 53.642711),
Anne-Frank-Schule - Förderschule,,,['POI'],POINT(10.090583 53.623061),
Anton-Rée-Schule Allermöhe - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.173767 53.481758),
Appelhoff - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.058584 53.607876),
Arbeitsgruppe für Haus- und Krankenhausunterricht,,,['POI'],POINT(10.018073 53.58571),
Arp-Schnitger-Stieg - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.809964 53.515042),
Astrid-Lindgren-Schule - Förderschule,,,['POI'],POINT(9.96779 53.571931),
Aueschule Finkenwerder - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.878609 53.532824),
August-Hermann-Francke-Schule - kooperative Gesamtschule,,,['POI'],POINT(10.118142 53.651857),
Bildungszentrum für Blinde und Sehbehinderte,,,['POI'],POINT(10.01572 53.590843),
Billwerder Straße - Sonderschule,,,['POI'],POINT(10.193758 53.492522),
Bindfeldweg - Förderschule,,,['POI'],POINT(9.946666 53.623694),
Bindfeldweg - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.946312 53.622726),
Blankenese - Gymnasium,,,['POI'],POINT(9.807116 53.562656),
Blankenese - Stadtteilschule mit Vorschulklasse,,,['POI'],POINT(9.822849 53.563789),
Bondenwald - Gymnasium,,,['POI'],POINT(9.94006 53.621617),
Bonhoefferstraße - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.137335 53.545072),
Bornbrook - Gymnasium,,,['POI'],POINT(10.19443 53.507863),
Bovestraße - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.081276 53.571776),
Bramfelder Dorfplatz - Stadtteilschule mit Vorschulklasse,,,['POI'],POINT(10.076941 53.613813),
Brüder-Grimm-Schule,,,['POI'],POINT(10.10659 53.551453),
Buckhorn - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.148648 53.664641),
Buckhorn - Gymnasium,,,['POI'],POINT(10.153091 53.665003),
Bugenhagen-Schule - Grund- und Gesamtschule mit Vorschulklasse,,,['POI'],POINT(10.02667 53.617023),
Böttcherkamp - Sonderschule,,,['POI'],POINT(9.865823 53.59134),
Carl-Cohn-Straße - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.01254 53.600601),
Carl-Götze-Schule - Grundschule mit Vorschulklasse,,,['POI'],POINT(9.977913 53.606963),
Carl-von-Ossietzky-Gymnasium,,,['POI'],POINT(10.067739 53.655102),
Charlotte-Paulsen-Gymnasium,,,['POI'],POINT(10.079829 53.573047),
Christian-Morgenstern-Schule,,,['POI'],POINT(9.957636 53.566146),
Christianeum,,,['POI'],POINT(9.87446 53.558364),
Christophorus-Schule - Sonderschule,,,['POI'],POINT(10.136 53.674763),
Clara-Grunwald-Schule - Grundschule mit Vorschulklasse,,,['POI'],POINT(10.160813 53.486764),
Corveystraße - Gymnasium,,,['POI'],POINT(9.969013 53.597673),
